transaction_id,customer_id,product_name,category,quantity,unit_price,total_amount,transaction_date,payment_method,region
cf87db93-7bb,02c00873,Product 46,Home,7,127.59,893.13,2024-11-09,PayPal,East
99fd5f70-f69,eb19c4ac,Product 47,Electronics,5,441.64,2208.2,2025-08-10,Credit Card,North
dc766740-047,44af5481,Product 48,Electronics,8,57.36,458.88,2025-05-11,Cash,South
a0f1a73a-0b9,2011861c,Product 49,Sports,8,220.92,1767.36,2025-08-16,Debit Card,West
27163ad9-51d,16778285,Product 50,Electronics,2,234.96,469.92,2024-12-24,Debit Card,South
06ddca73-890,369c9c66,Product 51,Clothing,3,201.83,605.49,2025-01-20,PayPal,Central
390a3376-563,7eae0103,Product 52,Clothing,8,115.21,921.68,2025-08-31,Credit Card,South
a470b0cb-ca4,8228ea76,Product 53,Books,2,260.41,520.82,2024-11-22,Credit Card,West
a23d09b5-e83,4e35397d,Product 54,Clothing,10,134.03,1340.3,2025-04-24,Credit Card,Central
a1fc99b2-718,8c7218b1,Product 55,Home,2,124.84,249.68,2025-03-06,Credit Card,West
d030f33b-f44,e022ee8f,Product 56,Sports,10,157.92,1579.2,2025-08-02,Credit Card,North
aa148e90-e22,9bbbd54b,Product 57,Home,4,422.93,1691.72,2025-03-29,PayPal,Central
d5a955d5-a54,6a5a69be,Product 58,Books,4,447.05,1788.2,2025-01-29,Credit Card,Central
3ef91a9a-c8d,c07be333,Product 59,Electronics,6,267.6,1605.6,2025-08-05,Cash,North
d3241b7b-2f3,383e41f8,Product 60,Home,3,422.47,1267.41,2024-12-20,Credit Card,South
bb16da1d-883,8e47a93e,Product 61,Electronics,6,187.05,1122.3,2025-05-04,PayPal,North
dc3cfcb7-390,4c8857f4,Product 62,Sports,7,254.74,1783.18,2024-10-02,Debit Card,West
4276719e-610,f1bd9ce9,Product 63,Home,1,150.63,150.63,2025-05-08,Cash,North
f3eefaaf-25c,5a55d1f0,Product 64,Electronics,7,38.17,267.19,2024-12-04,Credit Card,West
ba0e76bb-16d,8351c730,Product 65,Clothing,6,379.26,2275.56,2024-09-29,Credit Card,North
6b84b7db-775,14ca9bc0,Product 66,Electronics,5,339.19,1695.95,2025-07-10,Credit Card,North
7426a395-858,a5a5ac0e,Product 67,Home,1,278.28,278.28,2025-02-24,Debit Card,East
b128b5a6-436,3f47f585,Product 68,Clothing,1,215.12,215.12,2025-07-18,Debit Card,South
ba1c2b69-af4,f70e5db3,Product 69,Electronics,7,120.42,842.94,2024-11-04,Debit Card,South
708b3ff5-5d8,c53039dd,Product 70,Home,10,382.42,3824.2,2024-12-16,Credit Card,South
b395f719-69b,8458aed9,Product 71,Home,7,478.23,3347.61,2025-06-30,Debit Card,Central
aa47838b-ec2,562cc1ba,Product 72,Sports,3,180.71,542.13,2025-05-13,Credit Card,South
fd08c2ad-734,197ca296,Product 73,Clothing,5,195.9,979.5,2025-08-27,PayPal,North
b0ea04fa-b06,79024c00,Product 74,Clothing,7,138.25,967.75,2024-12-24,Credit Card,East
db1d9145-e3b,3f801460,Product 75,Electronics,8,62.44,499.52,2025-06-03,Debit Card,Central
