platform_id,item_id,item_name,completion_percentage,due_date,assigned_team,priority,estimated_hours,status
PLAT-002,ITEM-002-007,Equipment Item 2-7,100,2025-09-13,Echo,Medium,104,Completed
PLAT-002,ITEM-002-008,Equipment Item 2-8,95,2025-08-31,Echo,Medium,31,Almost Done
PLAT-002,ITEM-002-009,Equipment Item 2-9,17,2025-09-07,Delta,Low,86,Planning
PLAT-002,ITEM-002-010,Equipment Item 2-10,91,2025-09-24,Gamma,Medium,65,Almost Done
PLAT-002,ITEM-002-011,Equipment Item 2-11,0,2025-08-15,Alpha,High,30,Not Started
PLAT-002,ITEM-002-012,Equipment Item 2-12,0,2025-08-27,Alpha,Medium,46,Not Started
PLAT-002,ITEM-002-013,Equipment Item 2-13,0,2025-09-03,Delta,Medium,118,Not Started
PLAT-002,ITEM-002-014,Equipment Item 2-14,100,2025-12-12,Alpha,High,95,Completed
PLAT-002,ITEM-002-015,Equipment Item 2-15,68,2025-11-03,Gamma,High,9,In Progress
PLAT-002,ITEM-002-016,Equipment Item 2-16,0,2025-10-04,Echo,Low,55,Not Started
PLAT-002,ITEM-002-017,Equipment Item 2-17,0,2025-11-13,Delta,High,77,Not Started
PLAT-002,ITEM-002-018,Equipment Item 2-18,75,2025-10-31,Echo,Medium,45,Almost Done
PLAT-002,ITEM-002-019,Equipment Item 2-19,59,2025-08-21,Alpha,Medium,89,In Progress
PLAT-002,ITEM-002-020,Equipment Item 2-20,0,2025-12-10,Beta,High,21,Not Started
PLAT-002,ITEM-002-021,Equipment Item 2-21,91,2025-11-21,Gamma,Low,23,Almost Done
PLAT-002,ITEM-002-022,Equipment Item 2-22,0,2025-09-03,Beta,Medium,59,Not Started
PLAT-002,ITEM-002-023,Equipment Item 2-23,0,2025-09-12,Echo,High,52,Not Started
PLAT-002,ITEM-002-024,Equipment Item 2-24,8,2025-09-05,Gamma,Low,56,Planning
PLAT-002,ITEM-002-025,Equipment Item 2-25,9,2025-11-03,Delta,Medium,77,Planning
PLAT-002,ITEM-002-026,Equipment Item 2-26,52,2025-08-25,Beta,Medium,13,In Progress
PLAT-002,ITEM-002-027,Equipment Item 2-27,100,2025-10-14,Gamma,Low,85,Completed
PLAT-002,ITEM-002-028,Equipment Item 2-28,98,2025-12-12,Beta,Low,14,Almost Done
PLAT-002,ITEM-002-029,Equipment Item 2-29,9,2025-10-03,Gamma,Medium,45,Planning
PLAT-002,ITEM-002-030,Equipment Item 2-30,7,2025-11-29,Beta,High,38,Planning
PLAT-002,ITEM-002-031,Equipment Item 2-31,93,2025-08-17,Gamma,High,71,Almost Done
PLAT-002,ITEM-002-032,Equipment Item 2-32,5,2025-10-15,Delta,High,27,Planning
PLAT-002,ITEM-002-033,Equipment Item 2-33,3,2025-10-21,Echo,Medium,9,Planning
PLAT-002,ITEM-002-034,Equipment Item 2-34,56,2025-09-20,Delta,High,50,In Progress
PLAT-002,ITEM-002-035,Equipment Item 2-35,43,2025-09-21,Alpha,Low,71,In Progress
PLAT-002,ITEM-002-036,Equipment Item 2-36,0,2025-08-17,Delta,Medium,68,Not Started
PLAT-002,ITEM-002-037,Equipment Item 2-37,0,2025-08-18,Beta,High,45,Not Started
PLAT-002,ITEM-002-038,Equipment Item 2-38,0,2025-09-21,Delta,Low,87,Not Started
PLAT-002,ITEM-002-039,Equipment Item 2-39,44,2025-11-11,Alpha,Medium,116,In Progress
PLAT-002,ITEM-002-040,Equipment Item 2-40,82,2025-11-25,Gamma,Medium,105,Almost Done
PLAT-002,ITEM-002-041,Equipment Item 2-41,83,2025-09-09,Delta,High,49,Almost Done
PLAT-002,ITEM-002-042,Equipment Item 2-42,0,2025-10-06,Echo,Low,43,Not Started
PLAT-002,ITEM-002-043,Equipment Item 2-43,100,2025-10-16,Alpha,Medium,36,Completed
PLAT-002,ITEM-002-044,Equipment Item 2-44,94,2025-09-21,Echo,Low,32,Almost Done
PLAT-002,ITEM-002-045,Equipment Item 2-45,100,2025-12-08,Delta,Low,79,Completed
PLAT-002,ITEM-002-046,Equipment Item 2-46,30,2025-08-21,Echo,Medium,21,In Progress
PLAT-002,ITEM-002-047,Equipment Item 2-47,0,2025-10-29,Delta,Low,37,Not Started
PLAT-002,ITEM-002-048,Equipment Item 2-48,0,2025-11-03,Alpha,High,45,Not Started
PLAT-002,ITEM-002-049,Equipment Item 2-49,55,2025-09-23,Echo,Low,98,In Progress
PLAT-002,ITEM-002-050,Equipment Item 2-50,5,2025-09-09,Gamma,Low,108,Planning
