VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
1.91,2019-01-01 00:10:16,2019-01-01 01:04:54,Y,1.98,167.93,49.77,2.23,91.59,226.59,-0.73,1.07,76.15,85.81,drug,-0.22,312.0,3.3,1.42,0.46
1.88,2019-01-01 00:47:55,2019-01-01 01:00:01,N,4.88,122.87,199.09,5.5,0.03,328.41,-3.06,2.03,85.9,2.32,evening,0.01,-31.89,4.39,1.63,0.63
1.56,2019-01-01 00:12:47,2019-01-01 00:16:32,Y,1.94,167.45,94.53,4.05,19.91,171.0,-2.56,-0.36,71.99,91.81,yes,0.22,-49.58,1.01,1.68,1.46
1.46,2019-01-01 00:58:02,2019-01-01 00:16:32,N,3.74,227.84,8.88,6.37,24.87,222.41,4.14,-0.47,61.38,34.83,wide,0.01,187.51,4.57,1.73,1.29
1.15,2019-01-01 00:12:47,2019-01-01 00:31:38,Y,4.79,245.68,171.13,8.32,66.15,-48.27,2.34,1.42,72.79,51.64,care,0.13,-35.42,1.72,1.62,1.58
1.7,2019-01-01 00:10:16,2019-01-01 00:16:32,Y,5.08,187.48,170.43,8.79,43.29,383.22,-3.4,3.2,76.93,4.79,before,-0.29,29.43,4.64,1.07,0.94
1.22,2019-01-01 00:10:16,2019-01-01 01:00:01,Y,2.85,251.89,118.82,7.48,47.92,88.77,3.34,0.34,-0.68,19.45,wide,0.08,-62.66,1.88,1.67,2.62
1.51,2019-01-01 00:47:55,2019-01-01 00:31:38,N,1.35,57.33,197.29,3.86,2.01,-18.49,-0.75,0.99,9.9,-3.58,while,-0.06,51.98,1.07,1.55,0.3
1.37,2019-01-01 00:27:11,2019-01-01 01:00:01,Y,2.52,120.86,85.34,0.09,111.4,-86.26,-2.33,3.72,82.2,53.89,behind,-0.02,192.39,4.82,1.56,0.69
1.99,2019-01-01 00:19:06,2019-01-01 01:19:02,Y,4.99,257.15,213.72,2.75,81.56,-59.26,0.74,1.51,80.04,66.33,ten,-0.22,-56.66,2.55,1.69,2.16
1.44,2019-01-01 00:10:16,2018-12-21 15:18:57,Y,1.28,98.52,11.6,8.22,26.58,3.64,1.02,0.46,34.07,43.39,century,-0.11,350.29,4.44,1.72,1.01
1.17,2019-01-01 00:10:16,2019-01-01 00:16:32,Y,4.08,145.02,68.77,0.17,100.05,217.88,-1.07,3.44,47.61,0.36,of,0.06,118.48,3.77,1.31,0.87
1.25,2019-01-01 00:27:11,2018-12-21 15:18:57,Y,3.57,249.38,172.82,2.38,115.82,376.88,3.1,0.52,88.02,77.1,nor,0.12,286.34,1.81,1.33,0.89
1.07,2019-01-01 00:19:06,2019-01-01 00:39:46,N,2.02,135.9,120.41,1.51,39.58,-72.57,-1.81,2.3,51.52,8.21,consumer,-0.05,174.88,1.45,1.8,0.67
1.24,2019-01-01 00:27:11,2019-01-01 00:31:38,Y,3.02,147.75,243.54,1.26,9.9,182.25,-3.44,1.75,95.98,33.72,present,-0.07,342.12,4.69,1.71,2.19
1.35,2019-01-01 00:27:11,2019-01-01 01:04:54,N,1.1,248.71,150.63,1.33,111.39,365.35,-4.28,3.02,93.43,24.58,beautiful,-0.17,294.08,2.32,1.05,2.44
1.48,2019-01-01 00:27:11,2019-01-01 00:19:09,N,5.4,27.98,66.45,6.67,85.89,35.56,-1.57,0.04,25.81,72.63,sit,0.05,-2.29,2.91,1.16,2.65
1.91,2019-01-01 00:19:06,2018-12-21 15:18:57,Y,2.23,195.53,140.06,3.95,13.41,-43.2,-2.29,2.09,57.74,52.24,support,-0.09,389.56,1.9,1.27,1.31
1.78,2019-01-01 00:47:55,2019-01-01 00:39:43,N,4.23,140.48,13.81,8.88,89.15,-101.04,3.95,1.14,86.25,37.45,general,-0.1,108.42,2.22,1.68,1.3
